image,x,y,score,hit
orange_pos_clean_01/orange_pos_003148_20260511_163846_840.png,80,40,0.000,0
orange_pos_clean_01/orange_pos_003148_20260511_163846_840.png,100,40,0.000,0
orange_pos_clean_01/orange_pos_003148_20260511_163846_840.png,120,40,0.000,0
orange_pos_clean_01/orange_pos_003148_20260511_163846_840.png,140,40,0.000,0
orange_pos_clean_01/orange_pos_003148_20260511_163846_840.png,0,60,0.000,0
orange_pos_clean_01/orange_pos_003148_20260511_163846_840.png,20,60,0.000,0
orange_pos_clean_01/orange_pos_003148_20260511_163846_840.png,40,60,0.000,0
orange_pos_clean_01/orange_pos_003148_20260511_163846_840.png,60,60,0.000,0
orange_pos_clean_01/orange_pos_003148_20260511_163846_840.png,80,60,0.000,0
orange_pos_clean_01/orange_pos_003148_20260511_163846_840.png,100,60,0.000,0
orange_pos_clean_01/orange_pos_003148_20260511_163846_840.png,120,60,0.000,0
orange_pos_clean_01/orange_pos_003148_20260511_163846_840.png,140,60,0.000,0
orange_pos_clean_01/orange_pos_003148_20260511_163846_840.png,0,80,0.000,0
orange_pos_clean_01/orange_pos_003148_20260511_163846_840.png,20,80,0.000,0
orange_pos_clean_01/orange_pos_003148_20260511_163846_840.png,40,80,0.000,0
orange_pos_clean_01/orange_pos_003148_20260511_163846_840.png,60,80,0.000,0
orange_pos_clean_01/orange_pos_003148_20260511_163846_840.png,80,80,0.000,0
orange_pos_clean_01/orange_pos_003148_20260511_163846_840.png,100,80,0.000,0
orange_pos_clean_01/orange_pos_003148_20260511_163846_840.png,120,80,0.000,0
orange_pos_clean_01/orange_pos_003148_20260511_163846_840.png,140,80,0.000,0
orange_pos_clean_01/orange_pos_003148_20260511_163846_840.png,0,100,0.000,0
orange_pos_clean_01/orange_pos_003148_20260511_163846_840.png,20,100,0.000,0
orange_pos_clean_01/orange_pos_003148_20260511_163846_840.png,40,100,0.000,0
orange_pos_clean_01/orange_pos_003148_20260511_163846_840.png,60,100,0.000,0
orange_pos_clean_01/orange_pos_003148_20260511_163846_840.png,80,100,0.000,0
orange_pos_clean_01/orange_pos_003148_20260511_163846_840.png,100,100,0.000,0
orange_pos_clean_01/orange_pos_003148_20260511_163846_840.png,120,100,0.000,0
orange_pos_clean_01/orange_pos_003148_20260511_163846_840.png,140,100,0.000,0
orange_pos_clean_01/orange_pos_003150_20260511_163847_309.png,0,0,18.041,0
orange_pos_clean_01/orange_pos_003150_20260511_163847_309.png,20,0,10.261,0
orange_pos_clean_01/orange_pos_003150_20260511_163847_309.png,40,0,30.917,0
orange_pos_clean_01/orange_pos_003150_20260511_163847_309.png,60,0,0.000,0
orange_pos_clean_01/orange_pos_003150_20260511_163847_309.png,80,0,0.000,0
orange_pos_clean_01/orange_pos_003150_20260511_163847_309.png,100,0,0.000,0
orange_pos_clean_01/orange_pos_003150_20260511_163847_309.png,120,0,0.000,0
orange_pos_clean_01/orange_pos_003150_20260511_163847_309.png,140,0,0.000,0
orange_pos_clean_01/orange_pos_003150_20260511_163847_309.png,0,20,21.711,0
orange_pos_clean_01/orange_pos_003150_20260511_163847_309.png,20,20,0.849,0
orange_pos_clean_01/orange_pos_003150_20260511_163847_309.png,40,20,4.392,0
orange_pos_clean_01/orange_pos_003150_20260511_163847_309.png,60,20,0.000,0
orange_pos_clean_01/orange_pos_003150_20260511_163847_309.png,80,20,0.000,0
orange_pos_clean_01/orange_pos_003150_20260511_163847_309.png,100,20,0.000,0
orange_pos_clean_01/orange_pos_003150_20260511_163847_309.png,120,20,0.000,0
orange_pos_clean_01/orange_pos_003150_20260511_163847_309.png,140,20,0.000,0
orange_pos_clean_01/orange_pos_003150_20260511_163847_309.png,0,40,26.586,0
orange_pos_clean_01/orange_pos_003150_20260511_163847_309.png,20,40,4.877,0
orange_pos_clean_01/orange_pos_003150_20260511_163847_309.png,40,40,0.000,0
orange_pos_clean_01/orange_pos_003150_20260511_163847_309.png,60,40,0.000,0
orange_pos_clean_01/orange_pos_003150_20260511_163847_309.png,80,40,0.000,0
orange_pos_clean_01/orange_pos_003150_20260511_163847_309.png,100,40,0.000,0
orange_pos_clean_01/orange_pos_003150_20260511_163847_309.png,120,40,0.000,0
orange_pos_clean_01/orange_pos_003150_20260511_163847_309.png,140,40,0.000,0
orange_pos_clean_01/orange_pos_003150_20260511_163847_309.png,0,60,18.188,0
orange_pos_clean_01/orange_pos_003150_20260511_163847_309.png,20,60,7.118,0
orange_pos_clean_01/orange_pos_003150_20260511_163847_309.png,40,60,0.000,0
orange_pos_clean_01/orange_pos_003150_20260511_163847_309.png,60,60,0.000,0
orange_pos_clean_01/orange_pos_003150_20260511_163847_309.png,80,60,0.000,0
orange_pos_clean_01/orange_pos_003150_20260511_163847_309.png,100,60,0.000,0
orange_pos_clean_01/orange_pos_003150_20260511_163847_309.png,120,60,0.000,0
orange_pos_clean_01/orange_pos_003150_20260511_163847_309.png,140,60,4.624,0
orange_pos_clean_01/orange_pos_003150_20260511_163847_309.png,0,80,12.142,0
orange_pos_clean_01/orange_pos_003150_20260511_163847_309.png,20,80,0.000,0
orange_pos_clean_01/orange_pos_003150_20260511_163847_309.png,40,80,0.000,0
orange_pos_clean_01/orange_pos_003150_20260511_163847_309.png,60,80,0.000,0
orange_pos_clean_01/orange_pos_003150_20260511_163847_309.png,80,80,0.000,0
orange_pos_clean_01/orange_pos_003150_20260511_163847_309.png,100,80,0.000,0
orange_pos_clean_01/orange_pos_003150_20260511_163847_309.png,120,80,0.000,0
orange_pos_clean_01/orange_pos_003150_20260511_163847_309.png,140,80,0.000,0
orange_pos_clean_01/orange_pos_003150_20260511_163847_309.png,0,100,11.074,0
orange_pos_clean_01/orange_pos_003150_20260511_163847_309.png,20,100,18.329,0
orange_pos_clean_01/orange_pos_003150_20260511_163847_309.png,40,100,0.000,0
orange_pos_clean_01/orange_pos_003150_20260511_163847_309.png,60,100,0.000,0
orange_pos_clean_01/orange_pos_003150_20260511_163847_309.png,80,100,0.000,0
orange_pos_clean_01/orange_pos_003150_20260511_163847_309.png,100,100,0.000,0
orange_pos_clean_01/orange_pos_003150_20260511_163847_309.png,120,100,4.222,0
orange_pos_clean_01/orange_pos_003150_20260511_163847_309.png,140,100,11.904,0
orange_pos_clean_01/orange_pos_003151_20260511_163849_036.png,0,0,0.000,0
orange_pos_clean_01/orange_pos_003151_20260511_163849_036.png,20,0,0.000,0
orange_pos_clean_01/orange_pos_003151_20260511_163849_036.png,40,0,0.000,0
orange_pos_clean_01/orange_pos_003151_20260511_163849_036.png,60,0,0.000,0
orange_pos_clean_01/orange_pos_003151_20260511_163849_036.png,80,0,0.000,0
orange_pos_clean_01/orange_pos_003151_20260511_163849_036.png,100,0,0.000,0
orange_pos_clean_01/orange_pos_003151_20260511_163849_036.png,120,0,0.000,0
orange_pos_clean_01/orange_pos_003151_20260511_163849_036.png,140,0,0.000,0
orange_pos_clean_01/orange_pos_003151_20260511_163849_036.png,0,20,0.000,0
orange_pos_clean_01/orange_pos_003151_20260511_163849_036.png,20,20,0.000,0
orange_pos_clean_01/orange_pos_003151_20260511_163849_036.png,40,20,0.000,0
orange_pos_clean_01/orange_pos_003151_20260511_163849_036.png,60,20,0.000,0
orange_pos_clean_01/orange_pos_003151_20260511_163849_036.png,80,20,0.000,0
